ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II (CON DESCUENTO PARA ABONADOS DAIA);1135;17/10/2012; 20:30 hs;
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II (GRATUITA PATROCINADORES);2476;18/10/2012; 20:30 hs;
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II  ;1359;19/10/2012; 20:30 hs;
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II ;1298;20/10/2012; 20:30 hs;
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;1929;21/12/2012;20:30 hs;AN 
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;1360;22/12/2012; 20:30 hs;
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;1658;23/12/2012; 17:00 hs;AV 
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;1468;26/12/2012; 20:30 hs;
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;1754;27/12/2012; 20:30 hs;
2012;BALLET;"QUINTO PROGRAMA ""ONIEGUIN""";ONIEGUIN;2195;28/12/2012; 20:30 hs;
2012;BALLET;"PROGRAMA PARA NINIOS ""BAILE DE GRADUADOS"""; BAILE DE GRADUADOS;2099;21/07/2012; 11:00 hs;
2012;BALLET;"PROGRAMA PARA NINIOS ""BAILE DE GRADUADOS"""; BAILE DE GRADUADOS;2456;25/07/2012; 11:00 hs;
2012;BALLET;"PROGRAMA PARA NINIOS ""BAILE DE GRADUADOS"""; BAILE DE GRADUADOS;2449;27/07/2012; 11:00 hs;
2012;BALLET;"PROGRAMA PARA NINIOS ""BAILE DE GRADUADOS"""; BAILE DE GRADUADOS;2490;29/07/2012; 11:00 hs;
2012;BALLET;GALA INTERNACIONAL;GALA INTERNACIONAL;1873;12/09/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 1 ;CONCIERTO 1: BIENVENIDOS A CASA;2445;08/03/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 2;CONCIERTO 2: DEL DOLOR AL AMOR;2470;22/03/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 3;CONCIERTO 3:  GRANDEZAS DEL ESPIRITU;2319;12/04/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 4;CONCIERTO 4: DE LA ALDEA AL MUNDO;1989;03/05/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 5;CONCIERTO 5: VOCES CELESTIALES;2281;17/05/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 6;CONCIERTO 6: DESTINOS IRREPETIBLES;2286;31/05/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 7;CONCIERTO 7: SUENIOS Y SONIDOS;2138;07/06/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 8;CONCIERTO 8: CLAROSCURO E INTENSIDADES;2488;12/07/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 9;CONCIERTO 9: CON SANGRE LATINOAMERICANA;2353;16/08/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 10;CONCIERTO 10: RELATOS BRILLANTES;2069;31/08/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 11;CONCIERTO 11: NORDICOS Y ROMINTICOS;2485;06/09/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 12;CONCIERTO 12: EL ARCO MILAGROSO;2645;13/09/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 13;CONCIERTO 13: DESPLIEGUES SONOROS;2153;27/09/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 14;CONCIERTO 14: PUNTOS CARDINALES;1987;04/10/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 15;CONCIERTO 15: FLEMITICOS APASIONADOS;2404;25/10/2012; 20:30 hs;
2012;OFBA;OFBA ABONO NRO 16;CONCIERTO 16: DE RAICES Y ALTURAS;2625;13/12/2012; 20:30 hs;
