nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
5º Congreso Internacional de Profesionales de Spa y Bienestar,CONGRESOS Y CONVENCIONES,2019-04-28,2019-04-30
ICBA SUMMIT Latam CTO,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
Foro Internacional de Enseñanza de Ciencias y Tecnologías,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
2ª Jornadas de Intercambio y Reflexión sobre Didáctica del Lenguaje,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-30
3ª Jornada sobre Genocidio Armenio y Shoá,CONGRESOS Y CONVENCIONES,2019-04-29,2019-04-29
Diálogo de Escritores Argentinos,CONGRESOS Y CONVENCIONES,2019-05-01,2019-05-03
IX Asamblea Nacional General ANG IFMSA,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-05
ANTEA 11º Convención LATAM,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-03
5º Congreso de la Asociación Argentina de Ortopedia Oncológia,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-03
2ª Jornadas de Residentes y Concurrentes del Hospital Pirovano,CONGRESOS Y CONVENCIONES,2019-05-02,2019-05-02
24º Encuentro Internacional de Narración Oral,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-05
12° Encuentro Internacional de Educación Infantil OMEP,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-05
Jornada COWAP Latinoamérica,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-04
III Encuentro Latinoamericano de Dermatología Pediátrica,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
Workshop o Internacional de Lípidos en Medicina,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
Jornada de Fibrosis Pulmonar Idiopática,CONGRESOS Y CONVENCIONES,2019-05-03,2019-05-03
XXXVII RADLA Reunión Anual de Dermatólogos Latinoamericanos,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-07
Simposio de la Sociedad Argentina de Periodontología,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-04
Jornada La Experiencia del Cuerpo en Análisis,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-04
Simposio SAP SEPI,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-04
Seminario de Oratoria Neuro – Experiencial y Presentaciones Ejecutivas,CONGRESOS Y CONVENCIONES,2019-05-04,2019-05-04
International Labor and Employment Law Committee Midyear Meeting,CONGRESOS Y CONVENCIONES,2019-05-05,2019-05-09
Emotions Travel Comunity 2019,FERIAS Y EXPOSICIONES,2019-05-05,2019-05-08
Encuentro Internacional de Arte Decorativo ENIARTE (Primavera),CONGRESOS Y CONVENCIONES,2019-05-06,2019-05-09
Expo UADE 2019,FERIAS Y EXPOSICIONES,2019-05-07,2019-05-10
Semana de Acceso a la Justicia,CONGRESOS Y CONVENCIONES,2019-05-07,2019-05-09
6º Simposio Internacional de Innovación en Medios Interactivos SIIMI 2019,CONGRESOS Y CONVENCIONES,2019-05-07,2019-05-09
Arminera 2019  Exposición Internacional de la Industria Minera,FERIAS Y EXPOSICIONES,2019-05-07,2019-05-09
1º Foro Nacional Agrario,CONGRESOS Y CONVENCIONES,2019-05-07,2019-05-08
4ª Expo Vinos & Negocios,FERIAS Y EXPOSICIONES,2019-05-07,2019-05-08
65° Foro de la Comisión Interamericana para el Control del Abuso de Drogas,CONGRESOS Y CONVENCIONES,2019-05-07,2019-05-07
7º NeoWorkShop Federal de Turismo,FERIAS Y EXPOSICIONES,2019-05-07,2019-05-07
6ª Jornadas Latinoamericanas de Investigación y Crítica Teatral de AINCRIT,CONGRESOS Y CONVENCIONES,2019-05-08,2019-05-11
2º Congreso Mundial de Terapia Existencial  2ºWorld Congress for Existential Therapy,CONGRESOS Y CONVENCIONES,2019-05-08,2019-05-11
Jornada de Emergencia Hospital Tornú,CONGRESOS Y CONVENCIONES,2019-05-08,2019-05-09
Expo Construir 2019,FERIAS Y EXPOSICIONES,2019-05-08,2019-05-09
3º Congreso Internacional de Literatura Francesa y Francófona,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-11
5º Congreso Argentino de Fibrosis Quística,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-11
7º Congreso Argentino de Derecho Ambiental,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-10
"IV Mitín Internacional de Asma, Alergia e Inmunología",CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-10
7º Simposio de Epilepsia - FLENI,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-10
19ª Jornadas Nacionales de Tecnología Aplicada a la Educación Matemática Universitaria,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-10
Enfoque Multidisciplinario del Cáncer de Pulmón 2019,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-10
Encuentro Internacional de Química y Petroquímica,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-09
Jornada de Trabajo Económicas y Empresariales 2019,CONGRESOS Y CONVENCIONES,2019-05-09,2019-05-09
IV Congreso Latinoamericano de Cultura Viva Comunitaria,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-18
12º Jornadas Joseph Sandler,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-12
5º Congreso Internacional para Directivos de Instituciones Educativas,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-11
21º Congreso Internacional de Promoción de la Lectura y el Libro,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-11
40th International Scientific Conference on Economic and Social Development,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-11
Jornada de Hipertensión Pulmonar y Trasplante Intorácico,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-10
Encuentro Latinoamericano Resistencias,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-10
Foro de Regeneración Oral 2019,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-10
Congreso Nacional de Criminología y Criminalista Mentes Asesinas 2019,CONGRESOS Y CONVENCIONES,2019-05-10,2019-05-10
14.º Congreso Argentino de Go,CONGRESOS Y CONVENCIONES,2019-05-11,2019-05-12
Congreso del Método Pilates,CONGRESOS Y CONVENCIONES,2019-05-11,2019-05-12
XII Congreso de la Sociedad Latinoamericana de Errores Innatos del Metabolismo y Pesquisa Neonatal   Latin American Society Inborn Errors and Neonatal Screening SLEIMPN,CONGRESOS Y CONVENCIONES,2019-05-12,2019-05-15
Jornadas Veterinarias 2019,CONGRESOS Y CONVENCIONES,2019-05-12,2019-05-13
Expo Teen´s Party 2019,FERIAS Y EXPOSICIONES,2019-05-12,2019-05-12
